Plot_ID,Soil_Type,Rainfall_mm,Irrigation_liters_ha,Fertilizer_kg_ha,Temperature_C,Water_Usage_liters_ha,Yield_tons_ha
P1,Clayey,642,1492,207,28,2134,59
P2,Loamy,942,1041,224,27,1983,61
P3,Clayey,439,2039,334,32,2478,65
P4,Clayey,628,2074,172,34,2702,63
P5,Loamy,947,925,325,33,1872,59
P6,Loamy,622,1016,277,29,1638,53
P7,Clayey,405,2129,299,33,2534,67
P8,Sandy,721,2008,166,26,2729,76
P9,Clayey,867,1862,218,27,2729,78
P10,Clayey,474,2046,257,31,2520,65
P11,Clayey,403,2007,288,31,2410,72
P12,Clayey,1045,1294,243,30,2339,77
P13,Loamy,517,1226,164,30,1743,37
P14,Clayey,1005,2001,240,26,3006,87
P15,Sandy,903,1718,312,34,2621,70
P16,Loamy,973,2117,182,30,3090,83
P17,Sandy,840,950,274,28,1790,64
P18,Sandy,593,1183,165,27,1776,45
P19,Sandy,791,1107,311,26,1898,53
P20,Sandy,425,2159,215,25,2584,72
P21,Loamy,834,1545,317,29,2379,71
P22,Loamy,572,1691,305,26,2263,58
P23,Sandy,699,1174,196,26,1873,67
P24,Sandy,1044,1831,316,31,2875,85
P25,Loamy,725,2164,347,32,2889,83
P26,Loamy,809,928,297,34,1737,61
P27,Loamy,517,1814,273,32,2331,60
P28,Clayey,624,1468,150,28,2092,56
P29,Clayey,931,2175,349,25,3106,83
P30,Clayey,512,2181,236,31,2693,66
P31,Sandy,539,1316,277,25,1855,59
P32,Clayey,958,885,340,28,1843,55
P33,Sandy,400,1998,216,32,2398,57
P34,Sandy,489,2016,153,26,2505,59
P35,Clayey,1053,1110,335,30,2163,70
P36,Sandy,719,1942,302,30,2661,77
P37,Clayey,949,2041,196,33,2990,80
P38,Clayey,538,1226,187,29,1764,54
P39,Loamy,910,913,292,34,1823,64
P40,Clayey,658,1968,340,28,2626,79
P41,Loamy,1072,1102,170,29,2174,71
P42,Clayey,1089,1543,206,34,2632,71
P43,Clayey,409,1387,266,29,1796,51
P44,Loamy,660,1786,330,32,2446,73
P45,Loamy,1049,1144,195,34,2193,60
P46,Clayey,571,1613,291,32,2184,71
P47,Sandy,412,1600,294,26,2012,65
P48,Loamy,567,1824,188,31,2391,65
P49,Sandy,1041,1970,286,32,3011,83
P50,Sandy,995,2110,248,30,3105,81
P51,Sandy,720,1876,226,29,2596,73
P52,Loamy,718,2127,264,33,2845,69
P53,Sandy,1012,1892,283,27,2904,90
P54,Loamy,728,1160,300,34,1888,56
P55,Sandy,949,2043,336,28,2992,87
P56,Clayey,818,1809,240,33,2627,65
P57,Clayey,1005,1503,247,30,2508,75
P58,Loamy,494,1374,269,32,1868,51
P59,Clayey,980,1984,195,31,2964,80
P60,Clayey,717,1912,187,26,2629,73
P61,Sandy,635,1487,291,27,2122,60
P62,Loamy,733,1580,249,25,2313,61
P63,Sandy,775,1384,221,33,2159,67
P64,Sandy,858,1388,339,31,2246,67
P65,Sandy,536,1982,184,25,2518,67
P66,Sandy,987,1288,296,27,2275,73
P67,Sandy,946,1770,179,28,2716,66
P68,Sandy,912,2147,227,28,3059,83
P69,Sandy,695,1925,233,29,2620,70
P70,Loamy,719,1293,262,27,2012,57
P71,Clayey,971,818,174,27,1789,48
P72,Sandy,748,1196,317,25,1944,66
P73,Sandy,628,1800,237,31,2428,70
P74,Sandy,669,2102,163,34,2771,68
P75,Sandy,690,1650,303,25,2340,63
P76,Sandy,564,2188,251,26,2752,68
P77,Sandy,404,2154,299,28,2558,67
P78,Clayey,778,2167,325,28,2945,90
P79,Clayey,477,1621,232,29,2098,56
P80,Sandy,809,1254,259,26,2063,60
P81,Clayey,973,1524,328,28,2497,67
P82,Loamy,531,1888,280,25,2419,65
P83,Sandy,1000,1899,319,26,2899,78
P84,Loamy,441,1510,168,25,1951,48
P85,Loamy,488,942,177,34,1430,39
P86,Sandy,801,1716,322,34,2517,69
P87,Clayey,695,1627,220,28,2322,72
P88,Loamy,694,1404,212,28,2098,64
P89,Sandy,1015,1104,222,31,2119,59
P90,Loamy,925,1535,273,34,2460,64
P91,Loamy,1090,1090,268,33,2180,72
P92,Loamy,1036,901,270,33,1937,68
P93,Loamy,821,2090,168,29,2911,63
P94,Clayey,422,1666,324,34,2088,59
P95,Loamy,974,1767,291,25,2741,79
P96,Loamy,542,1773,269,25,2315,69
P97,Loamy,1064,1641,315,30,2705,89
P98,Clayey,544,1761,330,26,2305,66
P99,Loamy,624,1741,210,32,2365,51
P100,Loamy,902,1826,313,33,2728,79
P101,Clayey,1015,884,317,28,1899,70
P102,Clayey,503,1127,179,29,1630,44
P103,Clayey,438,1615,158,32,2053,47
P104,Loamy,597,1253,213,27,1850,51
P105,Clayey,1045,1428,310,29,2473,79
P106,Clayey,978,2044,269,27,3022,81
P107,Loamy,790,1977,201,34,2767,71
P108,Clayey,578,1464,238,27,2042,59
P109,Loamy,953,811,291,27,1764,59
P110,Sandy,847,1956,202,31,2803,76
P111,Clayey,899,1103,336,31,2002,61
P112,Sandy,414,2116,227,31,2530,62
P113,Loamy,1022,1774,190,34,2796,76
P114,Clayey,1068,2123,345,32,3191,84
P115,Loamy,688,1582,217,29,2270,58
P116,Sandy,877,842,157,29,1719,44
P117,Loamy,630,1743,151,28,2373,65
P118,Clayey,819,1142,254,31,1961,58
P119,Clayey,556,2149,274,34,2705,63
P120,Sandy,949,1297,259,28,2246,71
P121,Loamy,840,1163,235,26,2003,58
