State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,yield,N,P,K,pH,Average_Temperature,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year,Sugarcane,1.0,2.0,2.0,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year,Sugarcane,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year,Sugarcane,5.0,40.0,8.0,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year,Sugarcane,0.2,0.5,2.5,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,NICOBARS,2010,Autumn,Sugarcane,13.4,41.75,3.1156716417910446,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2000,Whole Year,Sugarcane,141.0,3736.0,26.49645390070922,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2001,Whole Year,Sugarcane,81.0,2379.0,29.37037037037037,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2006,Whole Year,Sugarcane,71.3,1500.0,21.03786816269285,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,2010,Autumn,Sugarcane,73.33,889.2,12.126005727533071,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,SOUTH ANDAMANS,2002,Whole Year,Sugarcane,455.0,13760.0,30.24175824175824,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,SOUTH ANDAMANS,2003,Whole Year,Sugarcane,268.0,2879.52,10.7444776119403,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,SOUTH ANDAMANS,2004,Whole Year,Sugarcane,145.26,1560.0,10.7393638992152,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,SOUTH ANDAMANS,2005,Whole Year,Sugarcane,128.02,2448.2,19.12357444149352,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,SOUTH ANDAMANS,2006,Whole Year,Sugarcane,53.5,999.5,18.682242990654206,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,SOUTH ANDAMANS,2010,Autumn,Sugarcane,67.5,402.0,5.955555555555556,,,,,,,,,,,,,,,,,
Andhra Pradesh,ANANTAPUR,1997,Kharif,Sugarcane,700.0,72900.0,104.14285714285714,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,ANANTAPUR,1998,Whole Year,Sugarcane,700.0,65900.0,94.14285714285714,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,ANANTAPUR,1999,Whole Year,Sugarcane,884.0,83126.0,94.03393665158372,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,ANANTAPUR,2000,Whole Year,Sugarcane,284.0,25395.0,89.41901408450704,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,ANANTAPUR,2001,Whole Year,Sugarcane,490.0,42470.0,86.6734693877551,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,ANANTAPUR,2002,Whole Year,Sugarcane,329.0,22481.0,68.33130699088146,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,ANANTAPUR,2003,Whole Year,Sugarcane,454.0,32386.0,71.33480176211454,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,ANANTAPUR,2004,Whole Year,Sugarcane,400.0,34072.0,85.18,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,ANANTAPUR,2005,Whole Year,Sugarcane,227.0,20612.0,90.80176211453744,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,ANANTAPUR,2006,Whole Year,Sugarcane,339.0,30937.0,91.25958702064896,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,ANANTAPUR,2008,Whole Year,Sugarcane,131.0,12305.0,93.93129770992368,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,ANANTAPUR,2009,Whole Year,Sugarcane,112.0,9968.0,89.0,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,ANANTAPUR,2010,Whole Year,Sugarcane,235.0,20981.0,89.28085106382979,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,ANANTAPUR,2011,Whole Year,Sugarcane,410.0,39186.0,95.57560975609756,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,ANANTAPUR,2012,Kharif,Sugarcane,76.0,6954.0,91.5,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,ANANTAPUR,2013,Kharif,Sugarcane,281.0,26505.0,94.32384341637012,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,ANANTAPUR,2014,Kharif,Sugarcane,30.0,2456.0,81.86666666666666,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,CHITTOOR,1997,Kharif,Sugarcane,29600.0,2775100.0,93.75337837837836,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,CHITTOOR,1998,Whole Year,Sugarcane,34500.0,3377000.0,97.8840579710145,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,CHITTOOR,1999,Whole Year,Sugarcane,44929.0,4097998.0,91.21053217298405,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,CHITTOOR,2000,Whole Year,Sugarcane,40539.0,3697441.0,91.20701053306692,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,CHITTOOR,2001,Whole Year,Sugarcane,38789.0,3337250.0,86.03598958467607,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,CHITTOOR,2002,Whole Year,Sugarcane,39436.0,2684685.0,68.07701085302769,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,CHITTOOR,2003,Whole Year,Sugarcane,26845.0,1881888.0,70.1019929223319,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,CHITTOOR,2004,Whole Year,Sugarcane,21928.0,1865393.0,85.06899854067858,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,CHITTOOR,2005,Whole Year,Sugarcane,22453.0,1972429.0,87.84701376208079,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,CHITTOOR,2006,Whole Year,Sugarcane,37965.0,3496956.0,92.1099960489925,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,CHITTOOR,2007,Whole Year,Sugarcane,30000.0,2819000.0,93.96666666666668,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,CHITTOOR,2008,Whole Year,Sugarcane,26916.0,2263880.0,84.10908010105513,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,CHITTOOR,2009,Whole Year,Sugarcane,27193.0,2261081.0,83.1493766778215,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,CHITTOOR,2010,Whole Year,Sugarcane,27719.0,2311342.0,83.38475413975974,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,CHITTOOR,2011,Whole Year,Sugarcane,28405.0,2577106.0,90.72719591621194,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,CHITTOOR,2012,Kharif,Sugarcane,28106.0,2491232.0,88.63701700704476,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,CHITTOOR,2013,Kharif,Sugarcane,28152.0,2562925.0,91.03882495026996,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,CHITTOOR,2014,Kharif,Sugarcane,26147.0,2066986.0,79.05251080429878,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,EAST GODAVARI,1997,Kharif,Sugarcane,15100.0,1197300.0,79.29139072847683,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,EAST GODAVARI,1998,Whole Year,Sugarcane,16400.0,1254900.0,76.51829268292683,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,EAST GODAVARI,1999,Whole Year,Sugarcane,15657.0,1425465.0,91.04330331481128,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
Andhra Pradesh,EAST GODAVARI,2000,Whole Year,Sugarcane,14772.0,1313615.0,88.92600866504198,78.0,45.0,22.0,6.8,28.175,24.3,26.2,29.0,31.3,33.5,31.3,29.2,28.4,28.1,27.1,25.5,24.2
